r(A) average_atoms
1.500000000000000222e-01 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00
3.500000000000000333e-01 0.000000000000000000e+00
4.500000000000000111e-01 0.000000000000000000e+00
5.500000000000000444e-01 0.000000000000000000e+00
6.500000000000001332e-01 0.000000000000000000e+00
7.500000000000001110e-01 0.000000000000000000e+00
8.500000000000000888e-01 0.000000000000000000e+00
9.500000000000000666e-01 0.000000000000000000e+00
1.050000000000000044e+00 0.000000000000000000e+00
1.150000000000000133e+00 0.000000000000000000e+00
1.250000000000000222e+00 0.000000000000000000e+00
1.350000000000000089e+00 8.969042885543879740e-01
1.450000000000000178e+00 2.102527690996875975e+00
1.550000000000000044e+00 5.680204487361544896e-04
1.650000000000000133e+00 0.000000000000000000e+00
1.750000000000000222e+00 0.000000000000000000e+00
1.850000000000000089e+00 0.000000000000000000e+00
1.950000000000000178e+00 0.000000000000000000e+00
2.049999999999999822e+00 0.000000000000000000e+00
2.149999999999999911e+00 0.000000000000000000e+00
2.250000000000000000e+00 0.000000000000000000e+00
2.350000000000000089e+00 4.870775347912524866e-01
2.450000000000000178e+00 5.162737858562908677e+00
2.549999999999999822e+00 3.374041465492757519e-01
2.649999999999999911e+00 1.988071570576540551e-03
2.750000000000000000e+00 7.798920761147400960e-01
2.850000000000000089e+00 2.130360692984947679e+00
2.950000000000000178e+00 7.497869923317239393e-02
3.049999999999999822e+00 0.000000000000000000e+00
3.149999999999999911e+00 0.000000000000000000e+00
3.250000000000000000e+00 0.000000000000000000e+00
3.350000000000000089e+00 0.000000000000000000e+00
3.450000000000000178e+00 0.000000000000000000e+00
3.549999999999999822e+00 1.704061346208463577e-03
3.649999999999999911e+00 9.608065890372053941e-01
3.750000000000000000e+00 4.720533939221811970e+00
3.850000000000000089e+00 2.573132632774779993e-01
3.950000000000000178e+00 0.000000000000000000e+00
4.049999999999999822e+00 2.556092019312695366e-03
4.150000000000000355e+00 1.040897472309003202e+00
4.250000000000000000e+00 4.521442771939789829e+00
4.349999999999999645e+00 3.626810565180346724e-01
4.450000000000000178e+00 0.000000000000000000e+00
4.549999999999999822e+00 0.000000000000000000e+00
4.650000000000000355e+00 0.000000000000000000e+00
4.750000000000000000e+00 6.617438227776199777e-02
4.850000000000000533e+00 3.327179778472025173e+00
4.950000000000000178e+00 2.564328315819369486e+00
5.049999999999999822e+00 3.307867083214995674e+00
5.150000000000000355e+00 2.492757739278613993e+00
5.250000000000000000e+00 2.754899176370349465e-02
5.350000000000000533e+00 0.000000000000000000e+00
5.450000000000000178e+00 2.840102243680772448e-04
5.549999999999999822e+00 3.533087191138881145e-01
5.650000000000000355e+00 2.261573416642999046e+00
