r(A) g(r)
1.500000000000000222e-01 0.000000000000000000e+00
2.500000000000000000e-01 0.000000000000000000e+00
3.500000000000000333e-01 0.000000000000000000e+00
4.500000000000000111e-01 0.000000000000000000e+00
5.500000000000000444e-01 0.000000000000000000e+00
6.500000000000001332e-01 0.000000000000000000e+00
7.500000000000001110e-01 0.000000000000000000e+00
8.500000000000000888e-01 0.000000000000000000e+00
9.500000000000000666e-01 0.000000000000000000e+00
1.050000000000000044e+00 0.000000000000000000e+00
1.150000000000000133e+00 0.000000000000000000e+00
1.250000000000000222e+00 0.000000000000000000e+00
1.350000000000000089e+00 2.713848335631685593e+00
1.450000000000000178e+00 5.923071336882760995e+00
1.550000000000000044e+00 1.496943861203610523e-03
1.650000000000000133e+00 0.000000000000000000e+00
1.750000000000000222e+00 0.000000000000000000e+00
1.850000000000000089e+00 0.000000000000000000e+00
1.950000000000000178e+00 0.000000000000000000e+00
2.049999999999999822e+00 0.000000000000000000e+00
2.149999999999999911e+00 0.000000000000000000e+00
2.250000000000000000e+00 0.000000000000000000e+00
2.350000000000000089e+00 8.466491529881908784e-01
2.450000000000000178e+00 8.607702150793224760e+00
2.549999999999999822e+00 5.404847894157506216e-01
2.649999999999999911e+00 3.064498281897956502e-03
2.750000000000000000e+00 1.158444028443804896e+00
2.850000000000000089e+00 3.053384675346813903e+00
2.950000000000000178e+00 1.038219369499181893e-01
3.049999999999999822e+00 0.000000000000000000e+00
3.149999999999999911e+00 0.000000000000000000e+00
3.250000000000000000e+00 0.000000000000000000e+00
3.350000000000000089e+00 0.000000000000000000e+00
3.450000000000000178e+00 0.000000000000000000e+00
3.549999999999999822e+00 1.960785621013180161e-03
3.649999999999999911e+00 1.075267079150727723e+00
3.750000000000000000e+00 5.142012142860143520e+00
3.850000000000000089e+00 2.730075667906792236e-01
3.950000000000000178e+00 0.000000000000000000e+00
4.049999999999999822e+00 2.578069983183996130e-03
4.150000000000000355e+00 1.024549860184627459e+00
4.250000000000000000e+00 4.345716084595327544e+00
4.349999999999999645e+00 3.405719346750996634e-01
4.450000000000000178e+00 0.000000000000000000e+00
4.549999999999999822e+00 0.000000000000000000e+00
4.650000000000000355e+00 0.000000000000000000e+00
4.750000000000000000e+00 5.690750268144040280e-02
4.850000000000000533e+00 2.802255759556747883e+00
4.950000000000000178e+00 2.116126716197117563e+00
5.049999999999999822e+00 2.675653760864316499e+00
5.150000000000000355e+00 1.977179438656828436e+00
5.250000000000000000e+00 2.143481043161550928e-02
5.350000000000000533e+00 0.000000000000000000e+00
5.450000000000000178e+00 2.128681637491372785e-04
5.549999999999999822e+00 2.600366804660181885e-01
5.650000000000000355e+00 1.635066738803959030e+00
